1 	Berlin 	berlin	4321521 	3336026 	3274016 	3208719 	3048759 	3433695 	3382169 	3460725 	3.644.826 	3.669.491 	891,68 	4.088 	0,68 	1747 	Berlin Berlin
2 	Hamburg 	hamburg	1698388 	1605606 	1836958 	1793640 	1645095 	1652363 	1715392 	1786448 	1.841.179 	1.847.253 	755,22 	2.438 	0,33 	1787 	Hamburg Hamburg
3 	München 	muenchen	815212 	831937 	1101384 	1311978 	1298941 	1229026 	1210223 	1353186 	1.471.508 	1.484.226 	310,70 	4.736 	0,86 	1852 	Bayern Bayern
4 	Köln 	koeln	768352 	594941 	801142 	849451 	976694 	953551 	962884 	1007119 	1.085.664 	1.087.863 	405,02 	2.681 	0,20 	1852 	Nordrhein-Westfalen Nordrhein-Westfalen
5 	Frankfurt am Main 	frankfurt-am-main	548220 	532037 	675009 	666179 	629375 	644865 	648550 	679664 	753.056 	763.380 	248,31 	3.033 	1,37 	1875 	Hessen Hessen
6 	Stuttgart 	stuttgart	454346 	497677 	637366 	634202 	580648 	579988 	583874 	606588 	634.830 	635.911 	207,35 	3.062 	0,17 	1874 	Baden-Württemberg Baden-Württemberg
7 	Düsseldorf 	duesseldorf	535753 	500516 	697891 	660963 	590479 	575794 	569364 	588735 	619.294 	621.877 	217,41 	2.849 	0,42 	1882 	Nordrhein-Westfalen Nordrhein-Westfalen
8 	Leipzig 	leipzig	702155 	617574 	589632 	583885 	562480 	511079 	493208 	522883 	587.857 	593.145 	297,80 	1.974 	0,90 	1871 	Sachsen Sachsen
9 	Dortmund 	dortmund	537865 	507349 	640802 	640642 	608297 	599055 	588994 	580444 	587.010 	588.250 	280,71 	2.091 	0,21 	1894 	Nordrhein-Westfalen Nordrhein-Westfalen
10 	Essen 	essen	664523 	605411 	729462 	696419 	647643 	626973 	595243 	574635 	583.109 	582.760 	210,34 	2.772 	−0,06 	1896 	Nordrhein-Westfalen Nordrhein-Westfalen
11 	Bremen 	bremen	354109 	444549 	563270 	592533 	555118 	551219 	539403 	547340 	569.352 	567.559 	325,56 	1.749 	−0,31 	1875 	Bremen Bremen
12 	Dresden 	dresden	629713 	494187 	493603 	502432 	516225 	490571 	477807 	523058 	554.649 	556.780 	328,48 	1.689 	0,38 	1852 	Sachsen Sachsen
13 	Hannover 	hannover	464646 	444296 	574672 	521003 	534623 	513010 	515001 	522686 	538.068 	536.925 	204,14 	2.636 	−0,21 	1875 	Niedersachsen Niedersachsen
14 	Nürnberg 	nuernberg	420349 	362459 	458401 	478181 	484405 	493692 	488400 	505664 	518.365 	518.370 	186,38 	2.781 	0,00 	1881 	Bayern Bayern
15 	Duisburg 	duisburg	433530 	410783 	503641 	452721 	558089 	535447 	514915 	489599 	498.590 	498.686 	232,80 	2.142 	0,02 	1903 	Nordrhein-Westfalen Nordrhein-Westfalen
16 	Bochum 	bochum	305469 	289804 	362490 	343809 	400757 	396486 	391147 	374737 	364.628 	365.587 	145,66 	2.503 	0,26 	1904 	Nordrhein-Westfalen Nordrhein-Westfalen
17 	Wuppertal 	wuppertal	399718 	363224 	421378 	417694 	393381 	383660 	366434 	349721 	354.382 	355.100 	168,39 	2.105 	0,20 	1884 	Nordrhein-Westfalen Nordrhein-Westfalen
18 	Bielefeld 	bielefeld	126711 	153613 	174527 	168609 	312708 	319037 	321758 	323270 	333.786 	334.195 	258,82 	1.290 	0,12 	1930 	Nordrhein-Westfalen Nordrhein-Westfalen
19 	Bonn 	bonn	98702 	115394 	146889 	275722 	288148 	292234 	302247 	324899 	327.258 	329.673 	141,06 	2.320 	0,74 	1934 	Nordrhein-Westfalen Nordrhein-Westfalen
20 	Münster 	muenster	132760 	118496 	180871 	198878 	269696 	259438 	265609 	279803 	314.319 	315.293 	303,28 	1.036 	0,31 	1915 	Nordrhein-Westfalen Nordrhein-Westfalen
21 	Karlsruhe 	karlsruhe	184489 	198840 	240450 	259091 	271892 	275061 	278558 	294761 	313.092 	312.060 	173,46 	1.805 	−0,33 	1901 	Baden-Württemberg Baden-Württemberg
22 	Mannheim 	mannheim	280365 	245634 	311383 	332378 	304303 	310411 	306729 	313174 	309.370 	310.658 	144,96 	2.134 	0,42 	1897 	Baden-Württemberg Baden-Württemberg
23 	Augsburg 	augsburg	180039 	185183 	206422 	213230 	248346 	256877 	254982 	264708 	295.135 	296.582 	146,84 	2.010 	0,49 	1909 	Bayern Bayern
24 	Wiesbaden 	wiesbaden	165646 	220741 	257293 	250715 	274464 	260301 	270109 	275976 	278.342 	278.474 	203,93 	1.365 	0,05 	1905 	Hessen Hessen
25 	Mönchen­gladbach 	moenchengladbach	128418 	124879 	152414 	151085 	258424 	259436 	263014 	257993 	261.454 	261.034 	170,47 	1.534 	−0,16 	1921 	Nordrhein-Westfalen Nordrhein-Westfalen
26 	Gelsenkirchen 	gelsenkirchen	317505 	315460 	388608 	347074 	304386 	293714 	278695 	257981 	260.654 	259.645 	104,94 	2.484 	−0,39 	1903 	Nordrhein-Westfalen Nordrhein-Westfalen
27 	Braunschweig 	braunschweig	189628 	223760 	242489 	223275 	261141 	258833 	245816 	248867 	248.292 	249.406 	192,18 	1.292 	0,45 	1890 	Niedersachsen Niedersachsen
28 	Aachen 	aachen	159631 	129811 	170367 	175451 	243947 	241861 	244386 	258664 	247.380 	248.960 	160,85 	1.538 	0,64 	1888 	Nordrhein-Westfalen Nordrhein-Westfalen
29 	Kiel 	kiel	261298 	254449 	271610 	271070 	250062 	245567 	232612 	239526 	247.548 	246.794 	118,65 	2.086 	−0,30 	1900 	Schleswig-Holstein Schleswig-Holstein
30 	Chemnitz 	chemnitz	334713 	293373 	286329 	299411 	317644 	294244 	259246 	243248 	247.237 	246.334 	221,05 	1.118 	−0,37 	1883 	Sachsen Sachsen
31 	"Halle (Saale)" 	halle-saale	217480 	289119 	277855 	257261 	232294 	310234 	247736 	232963 	239.257 	238.762 	135,02 	1.772 	−0,21 	1890 	Sachsen-Anhalt Sachsen-Anhalt
32 	Magdeburg 	magdeburg	329824 	260305 	261594 	272237 	289032 	278807 	231450 	231549 	238.697 	237.565 	201,00 	1.188 	−0,47 	1882 	Sachsen-Anhalt Sachsen-Anhalt
33 	Freiburg im Breisgau	freiburg-im-breisgau	108487 	109717 	141637 	163568 	175106 	191029 	205102 	224191 	230.241 	231.195 	153,06 	1.504 	0,41 	1934 	Baden-Württemberg Baden-Württemberg
34 	Krefeld 	krefeld	170205 	171875 	211479 	222666 	223969 	244020 	239916 	235076 	227.020 	227.417 	137,77 	1.648 	0,17 	1888 	Nordrhein-Westfalen Nordrhein-Westfalen
35 	Mainz 	mainz	154033 	88369 	133089 	174858 	187392 	179486 	182870 	199237 	217.118 	218.578 	97,74 	2.221 	0,67 	1908 	Rheinland-Pfalz Rheinland-Pfalz
36 	Lübeck 	luebeck	149502 	238276 	232140 	239955 	220588 	214758 	213399 	210232 	217.198 	216.530 	214,21 	1.014 	−0,31 	1912 	Schleswig-Holstein Schleswig-Holstein
37 	Erfurt 	erfurt	159201 	188650 	186448 	195994 	211575 	208989 	200564 	204994 	213.699 	213.981 	269,88 	792 	0,13 	1906 	Thüringen Thüringen
38 	Oberhausen 	oberhausen	191829 	202808 	258626 	246199 	228947 	223840 	222151 	212945 	210.829 	210.764 	77,09 	2.735 	−0,03 	1914 	Nordrhein-Westfalen Nordrhein-Westfalen
39 	Rostock 	rostock	118048 	133109 	158630 	198636 	232506 	248088 	200506 	202735 	208.886 	209.191 	181,26 	1.152 	0,15 	1935 	Mecklenburg-Vorpommern Mecklenburg-Vorpommern
40 	Kassel 	kassel	211624 	162132 	206354 	214785 	195912 	194268 	194766 	195530 	201.585 	202.137 	106,78 	1.888 	0,27 	1899 	Hessen Hessen
41 	Hagen 	hagen	151481 	146401 	195500 	201042 	218927 	214449 	203151 	188526 	188.814 	188.686 	160,45 	1.177 	−0,07 	1928 	Nordrhein-Westfalen Nordrhein-Westfalen
42 	Saarbrücken 	saarbruecken	131285 	111450 	129801 	128251 	193554 	191694 	183257 	175741 	180.741 	180.374 	167,09 	1.082 	−0,20 	1909 	Saarland Saarland
43 	Potsdam 	potsdam	126241 	118180 	115004 	111336 	130900 	139794 	129324 	156906 	178.089 	180.334 	188,61 	944 	1,26 	1939 	Brandenburg Brandenburg
